type,source,text,metric_name,metric_value,tags,recorded_at
qualitative,nps_survey,"Checkout failed three times on the payment step before it finally went through.",,,checkout_failure;payment,2026-06-10
qualitative,support_ticket,"I couldn't pay with my card at checkout — it kept throwing an error.",,,checkout_failure;payment,2026-06-11
qualitative,app_review,"Payment keeps getting declined even though my card is fine. Frustrating.",,,checkout_failure;payment,2026-06-12
quantitative,page_analytics,,checkout_conversion,0.41,checkout_failure,2026-06-12
qualitative,app_review,"Delivery status never updated, I had no idea where my order was for days.",,,late_delivery;tracking,2026-06-09
qualitative,open_feedback,"Order arrived late and the tracking page was wrong the whole time.",,,late_delivery;tracking,2026-06-13
qualitative,nps_survey,"Onboarding was confusing — I couldn't figure out how to connect a data source.",,,onboarding_friction,2026-06-08
qualitative,support_ticket,"Spent 20 minutes trying to set up my first integration. Gave up.",,,onboarding_friction,2026-06-14
qualitative,csat_survey,"The pricing page is unclear about what's actually included in each tier.",,,pricing_unclear,2026-06-13
qualitative,social_mention,"Pricing comparison is impossible, no idea which plan I need.",,,pricing_unclear,2026-06-15
qualitative,support_ticket,"Support took 3 days to reply and then closed the ticket without solving it.",,,support_delay,2026-06-07
qualitative,nps_survey,"Love the new dashboard — so much faster than the old one!",,,positive_dashboard,2026-06-15
qualitative,ab_test_result,"Variant B (urgency subject line) beat control by 14% open rate over 24k sends.",,,subject_lines;ab_test,2026-06-06
quantitative,campaign_metrics,,email_open_rate,0.31,subject_lines,2026-06-06
