Phase,Week,Dates (2026),Category,Task,Status,Weekly goal,Notes
P1 Foundation,W1,6–12 Jul,Legal/Tax,Book Steuerberater consult — frame: registered Freiberufler + USt-IdNr launching productised AI SaaS; handle Gewerbe classification + avoid Abfärbung,Not started,Steuerberater booked; ICP locked; one-pager v1 drafted,
P1 Foundation,W1,6–12 Jul,Funding,Email university EXIST office to open a Gründungsstipendium application,Not started,Steuerberater booked; ICP locked; one-pager v1 drafted,
P1 Foundation,W1,6–12 Jul,Funding,Email IBB Business Team re GründungsBONUS Plus (confirm <18-month window applies),Not started,Steuerberater booked; ICP locked; one-pager v1 drafted,
P1 Foundation,W1,6–12 Jul,GTM,Lock ONE beachhead ICP,Not started,Steuerberater booked; ICP locked; one-pager v1 drafted,
P1 Foundation,W1,6–12 Jul,Sales assets,Draft German one-pager (WIN metric + EU-residency/AI-Act + EUR pricing + 60–90-day pilot offer),Not started,Steuerberater booked; ICP locked; one-pager v1 drafted,
P1 Foundation,W2,13–19 Jul,Outbound,Build 40–60 target account list (warm + one-hop + LinkedIn ICP),Not started,List built; sequence drafted; MoR chosen,
P1 Foundation,W2,13–19 Jul,Outbound,Draft outbound sequence (5–7 touches / 14 days),Not started,List built; sequence drafted; MoR chosen,
P1 Foundation,W2,13–19 Jul,Ops/Billing,Set up Paddle (Merchant-of-Record) sandbox for EU B2B billing,Not started,List built; sequence drafted; MoR chosen,
P1 Foundation,W2,13–19 Jul,Content,Publish LinkedIn posts #1–3,Not started,List built; sequence drafted; MoR chosen,
P1 Foundation,W3,20–26 Jul,Outbound,Launch outbound to first 20 accounts (short DE email + warm intro + LinkedIn msg),Not started,20 accounts contacted; first calls booked,
P1 Foundation,W3,20–26 Jul,Legal,Start legal pack (AGB + Art. 28 AVV/DPA + TOMs + subprocessor list) with counsel,Not started,20 accounts contacted; first calls booked,
P1 Foundation,W3,20–26 Jul,Legal/Tax,"File Gewerbeanmeldung if Steuerberater confirms (berlin.de/ea, ~€15)",Not started,20 accounts contacted; first calls booked,
P1 Foundation,W4,27 Jul–2 Aug,Sales,Hold 3–5 discovery calls,Not started,≥3 discovery calls; ≥2 pilot proposals; first pilot verbally agreed,
P1 Foundation,W4,27 Jul–2 Aug,Sales,Send first 2 pilot proposals,Not started,≥3 discovery calls; ≥2 pilot proposals; first pilot verbally agreed,
P1 Foundation,W4,27 Jul–2 Aug,Compliance,Ship AI-Act classification memo (text triage = limited risk) + 1-page compliance datasheet,Not started,≥3 discovery calls; ≥2 pilot proposals; first pilot verbally agreed,
P1 Foundation,W4,27 Jul–2 Aug,Content,Post the 'Art. 50 applies 2 Aug 2026' countdown piece,Not started,≥3 discovery calls; ≥2 pilot proposals; first pilot verbally agreed,
P2 Land pilots,W5,3–9 Aug,Sales,"Convert W4 verbal into a signed pilot (one metric, weekly 30-min syncs, testimonial-on-success)",Not started,Pilot #1 signed + onboarded,
P2 Land pilots,W5,3–9 Aug,Onboarding,"Onboard: connect 1–2 sources, agree the baseline metric",Not started,Pilot #1 signed + onboarded,
P2 Land pilots,W5,3–9 Aug,Outbound,Continue outbound to accounts 21–40,Not started,Pilot #1 signed + onboarded,
P2 Land pilots,W6,10–16 Aug,Delivery,Weekly pilot sync — change something visible every week,Not started,Pilot #1 first outcome logged; 2 proposals out,
P2 Land pilots,W6,10–16 Aug,Sales,Send 2 more pilot proposals,Not started,Pilot #1 first outcome logged; 2 proposals out,
P2 Land pilots,W6,10–16 Aug,Legal,Finalise legal pack v1 (customer-ready AVV/DPA + TOMs + published subprocessor list),Not started,Pilot #1 first outcome logged; 2 proposals out,
P2 Land pilots,W6,10–16 Aug,Legal/Tax,Waive §19 Kleinunternehmer + register for regular VAT (with Steuerberater),Not started,Pilot #1 first outcome logged; 2 proposals out,
P2 Land pilots,W7,17–23 Aug,Sales,Sign pilots #2–3,Not started,3 pilots live; invoicing pipeline ready,
P2 Land pilots,W7,17–23 Aug,Ops/Billing,"Set up reverse-charge EU B2B invoicing (both USt-IdNrs, VIES check) + quarterly ZM",Not started,3 pilots live; invoicing pipeline ready,
P2 Land pilots,W7,17–23 Aug,Content,Draft anonymised case study #1 from pilot #1's early result,Not started,3 pilots live; invoicing pipeline ready,
P2 Land pilots,W8,24–30 Aug,Delivery,Weekly syncs for all pilots,Not started,5 pilots live; case study #1 published,
P2 Land pilots,W8,24–30 Aug,Sales,Sign pilots #4–5 (target reached),Not started,5 pilots live; case study #1 published,
